ncbi_taxon_id,presented_samples,nr_phenotypes,pct_of_all_samples,name,dblinks,files
194,1699,29,4.5246,Campylobacter,"[{""url"":""http://mvp.medgenius.info/microbes/194/Campylobacter"",""dbtype"":""MVP"",""anno"":""assoc w/ 7 phage clusters""}]","['Campylobacter_coli_1098.mat', 'Campylobacter_coli_111_3.mat', 'Campylobacter_coli_1148.mat', 'Campylobacter_coli_132_6.mat', 'Campylobacter_coli_1417.mat', 'Campylobacter_coli_14983A.mat', 'Campylobacter_coli_151_9.mat', 'Campylobacter_coli_1891.mat', 'Campylobacter_coli_1909.mat', 'Campylobacter_coli_1948.mat', 'Campylobacter_coli_1957.mat', 'Campylobacter_coli_1961.mat', 'Campylobacter_coli_202_04.mat', 'Campylobacter_coli_2548.mat', 'Campylobacter_coli_2553.mat', 'Campylobacter_coli_2680.mat', 'Campylobacter_coli_2685.mat', 'Campylobacter_coli_2698.mat', 'Campylobacter_coli_317_04.mat', 'Campylobacter_coli_37_05.mat', 'Campylobacter_coli_59_2.mat', 'Campylobacter_coli_67_8.mat', 'Campylobacter_coli_7_1.mat', 'Campylobacter_coli_80352.mat', 'Campylobacter_coli_84_2.mat', 'Campylobacter_coli_86119.mat', 'Campylobacter_coli_90_3.mat', 'Campylobacter_coli_BFR_CA_9557.mat', 'Campylobacter_coli_BIGS0003.mat', 'Campylobacter_coli_H56.mat', 'Campylobacter_coli_H6.mat', 'Campylobacter_coli_H8.mat', 'Campylobacter_coli_H9.mat', 'Campylobacter_coli_JV20.mat', 'Campylobacter_coli_LMG_23336.mat', 'Campylobacter_coli_LMG_23341.mat', 'Campylobacter_coli_LMG_23342.mat', 'Campylobacter_coli_LMG_9853.mat', 'Campylobacter_coli_LMG_9854.mat', 'Campylobacter_coli_LMG_9860.mat', 'Campylobacter_coli_RM2228.mat', 'Campylobacter_coli_YH501.mat', 'Campylobacter_coli_Z156.mat', 'Campylobacter_coli_Z163.mat', 'Campylobacter_concisus_13826.mat', 'Campylobacter_concisus_UNSWCD.mat', 'Campylobacter_curvus_525_92.mat', 'Campylobacter_curvus_DSM_6644.mat', 'Campylobacter_fetus_subsp_fetus_006A_0073.mat', 'Campylobacter_fetus_subsp_fetus_82_40.mat', 'Campylobacter_fetus_subsp_venerealis_NCTC_10354.mat', 'Campylobacter_gracilis_RM3268.mat', 'Campylobacter_hominis_ATCC_BAA_381.mat', 'Campylobacter_hyointestinalis_subsp_hyointestinalis_LMG_9260.mat', 'Campylobacter_jejuni_CJM1cam.mat', 'Campylobacter_jejuni_jejuni_81_176.mat', 'Campylobacter_jejuni_jejuni_ICDCCJ07004.mat', 'Campylobacter_jejuni_jejuni_M1.mat', 'Campylobacter_jejuni_jejuni_NCTC_11168.mat', 'Campylobacter_jejuni_NCTC11351.mat', 'Campylobacter_jejuni_RM1221.mat', 'Campylobacter_jejuni_str_NCCP_No_15742.mat', 'Campylobacter_jejuni_subsp_doylei_269_97.mat', 'Campylobacter_jejuni_subsp_jejuni_04197.mat', 'Campylobacter_jejuni_subsp_jejuni_04199.mat', 'Campylobacter_jejuni_subsp_jejuni_110_21.mat', 'Campylobacter_jejuni_subsp_jejuni_1213.mat', 'Campylobacter_jejuni_subsp_jejuni_129_258.mat', 'Campylobacter_jejuni_subsp_jejuni_1336.mat', 'Campylobacter_jejuni_subsp_jejuni_140_16.mat', 'Campylobacter_jejuni_subsp_jejuni_1798.mat', 'Campylobacter_jejuni_subsp_jejuni_1854.mat', 'Campylobacter_jejuni_subsp_jejuni_1893.mat', 'Campylobacter_jejuni_subsp_jejuni_1997_1.mat', 'Campylobacter_jejuni_subsp_jejuni_1997_11.mat', 'Campylobacter_jejuni_subsp_jejuni_1997_7.mat', 'Campylobacter_jejuni_subsp_jejuni_2008_1025.mat', 'Campylobacter_jejuni_subsp_jejuni_2008_831.mat', 'Campylobacter_jejuni_subsp_jejuni_2008_894.mat', 'Campylobacter_jejuni_subsp_jejuni_2008_988.mat', 'Campylobacter_jejuni_subsp_jejuni_260_94.mat', 'Campylobacter_jejuni_subsp_jejuni_414.mat', 'Campylobacter_jejuni_subsp_jejuni_51037.mat', 'Campylobacter_jejuni_subsp_jejuni_53161.mat', 'Campylobacter_jejuni_subsp_jejuni_55037.mat', 'Campylobacter_jejuni_subsp_jejuni_60004.mat', 'Campylobacter_jejuni_subsp_jejuni_6399.mat', 'Campylobacter_jejuni_subsp_jejuni_81116.mat', 'Campylobacter_jejuni_subsp_jejuni_84_25.mat', 'Campylobacter_jejuni_subsp_jejuni_86605.mat', 'Campylobacter_jejuni_subsp_jejuni_87330.mat', 'Campylobacter_jejuni_subsp_jejuni_CF93_6.mat', 'Campylobacter_jejuni_subsp_jejuni_CG8421.mat', 'Campylobacter_jejuni_subsp_jejuni_CG8486.mat', 'Campylobacter_jejuni_subsp_jejuni_D2600.mat', 'Campylobacter_jejuni_subsp_jejuni_DFVF1099.mat', 'Campylobacter_jejuni_subsp_jejuni_H22082.mat', 'Campylobacter_jejuni_subsp_jejuni_HB93_13.mat', 'Campylobacter_jejuni_subsp_jejuni_IA3902.mat', 'Campylobacter_jejuni_subsp_jejuni_ICDCCJ07001.mat', 'Campylobacter_jejuni_subsp_jejuni_ICDCCJ07002.mat', 'Campylobacter_jejuni_subsp_jejuni_LMG_23210.mat', 'Campylobacter_jejuni_subsp_jejuni_LMG_23211.mat', 'Campylobacter_jejuni_subsp_jejuni_LMG_23216.mat', 'Campylobacter_jejuni_subsp_jejuni_LMG_23218.mat', 'Campylobacter_jejuni_subsp_jejuni_LMG_23223.mat', 'Campylobacter_jejuni_subsp_jejuni_LMG_23264.mat', 'Campylobacter_jejuni_subsp_jejuni_LMG_23269.mat', 'Campylobacter_jejuni_subsp_jejuni_LMG_23357.mat', 'Campylobacter_jejuni_subsp_jejuni_LMG_9081.mat', 'Campylobacter_jejuni_subsp_jejuni_LMG_9217.mat', 'Campylobacter_jejuni_subsp_jejuni_LMG_9872.mat', 'Campylobacter_jejuni_subsp_jejuni_LMG_9879.mat', 'Campylobacter_jejuni_subsp_jejuni_NCTC_11168_BN148.mat', 'Campylobacter_jejuni_subsp_jejuni_NW.mat', 'Campylobacter_jejuni_subsp_jejuni_P110B.mat', 'Campylobacter_jejuni_subsp_jejuni_P854.mat', 'Campylobacter_jejuni_subsp_jejuni_PT14.mat', 'Campylobacter_jejuni_subsp_jejuni_RB922.mat', 'Campylobacter_jejuni_subsp_jejuni_S3.mat', 'Campylobacter_jejuni_subsp_jejuni_xy259.mat', 'Campylobacter_lari_RM2100.mat', 'Campylobacter_rectus_RM3267.mat', 'Campylobacter_showae_CSUNSWCD.mat', 'Campylobacter_showae_RM3277.mat', 'Campylobacter_sputorum_bv_faecalis_CCUG_20703.mat', 'Campylobacter_sp_10_1_50.mat', 'Campylobacter_subantarcticus_LMG_24374.mat', 'Campylobacter_subantarcticus_LMG_24377.mat', 'Campylobacter_troglodytis_MIT_05_9149A.mat', 'Campylobacter_upsaliensis_JV21.mat', 'Campylobacter_upsaliensis_RM3195.mat', 'Campylobacter_ureolyticus_ACS_301_V_Sch3b.mat', 'Campylobacter_ureolyticus_CIT007.mat', 'Campylobacter_ureolyticus_RIGS_9880.mat', 'Campylobacter_ureolyticus_UMB0112.mat']"
209,636,13,1.6937,Helicobacter,[],"['Helicobacter_apodemus_SCJK1.mat', 'Helicobacter_bilis_ATCC_43879.mat', 'Helicobacter_bilis_WiWa.mat', 'Helicobacter_canadensis_MIT_98_5491.mat', 'Helicobacter_canis_NCTC_12740.mat', 'Helicobacter_cinaedi_CCUG_18818.mat', 'Helicobacter_fennelliae_MRY12_0050.mat', 'Helicobacter_fennelliae_NCTC13102.mat', 'Helicobacter_hepaticus_ATCC_51449.mat', 'Helicobacter_macacae_MIT_99_5501.mat', 'Helicobacter_pullorum_MIT_98_5489.mat', 'Helicobacter_pylori_2017.mat', 'Helicobacter_pylori_2018.mat', 'Helicobacter_pylori_26695.mat', 'Helicobacter_pylori_26695_1MET.mat', 'Helicobacter_pylori_35A.mat', 'Helicobacter_pylori_51.mat', 'Helicobacter_pylori_52.mat', 'Helicobacter_pylori_83.mat', 'Helicobacter_pylori_8A3.mat', 'Helicobacter_pylori_908.mat', 'Helicobacter_pylori_98_10.mat', 'Helicobacter_pylori_A45.mat', 'Helicobacter_pylori_Aklavik117.mat', 'Helicobacter_pylori_Aklavik86.mat', 'Helicobacter_pylori_B128.mat', 'Helicobacter_pylori_B38.mat', 'Helicobacter_pylori_B45.mat', 'Helicobacter_pylori_B8.mat', 'Helicobacter_pylori_BCS100H1.mat', 'Helicobacter_pylori_BM013A.mat', 'Helicobacter_pylori_CCHI_33.mat', 'Helicobacter_pylori_CPY1124.mat', 'Helicobacter_pylori_CPY1313.mat', 'Helicobacter_pylori_CPY1662.mat', 'Helicobacter_pylori_CPY1962.mat', 'Helicobacter_pylori_CPY3281.mat', 'Helicobacter_pylori_CPY6081.mat', 'Helicobacter_pylori_CPY6261.mat', 'Helicobacter_pylori_CPY6271.mat', 'Helicobacter_pylori_CPY6311.mat', 'Helicobacter_pylori_Cuz20.mat', 'Helicobacter_pylori_ELS37.mat', 'Helicobacter_pylori_F16.mat', 'Helicobacter_pylori_F30.mat', 'Helicobacter_pylori_F32.mat', 'Helicobacter_pylori_F57.mat', 'Helicobacter_pylori_G27.mat', 'Helicobacter_pylori_GAM100Ai.mat', 'Helicobacter_pylori_GAM101Biv.mat', 'Helicobacter_pylori_GAM103Bi.mat', 'Helicobacter_pylori_GAM105Ai.mat', 'Helicobacter_pylori_GAM114Ai.mat', 'Helicobacter_pylori_GAM115Ai.mat', 'Helicobacter_pylori_GAM118Bi.mat', 'Helicobacter_pylori_GAM119Bi.mat', 'Helicobacter_pylori_GAM120Ai.mat', 'Helicobacter_pylori_GAM121Aii.mat', 'Helicobacter_pylori_GAM201Ai.mat', 'Helicobacter_pylori_GAM210Bi.mat', 'Helicobacter_pylori_GAM231Ai.mat', 'Helicobacter_pylori_GAM239Bi.mat', 'Helicobacter_pylori_GAM244Ai.mat', 'Helicobacter_pylori_GAM245Ai.mat', 'Helicobacter_pylori_GAM246Ai.mat', 'Helicobacter_pylori_GAM249T.mat', 'Helicobacter_pylori_GAM250AFi.mat', 'Helicobacter_pylori_GAM250T.mat', 'Helicobacter_pylori_GAM252Bi.mat', 'Helicobacter_pylori_GAM252T.mat', 'Helicobacter_pylori_GAM254Ai.mat', 'Helicobacter_pylori_GAM260ASi.mat', 'Helicobacter_pylori_GAM260Bi.mat', 'Helicobacter_pylori_GAM260BSi.mat', 'Helicobacter_pylori_GAM263BFi.mat', 'Helicobacter_pylori_GAM264Ai.mat', 'Helicobacter_pylori_GAM265BSii.mat', 'Helicobacter_pylori_GAM270ASi.mat', 'Helicobacter_pylori_GAM42Ai.mat', 'Helicobacter_pylori_GAM80Ai.mat', 'Helicobacter_pylori_GAM83Bi.mat', 'Helicobacter_pylori_GAM83T.mat', 'Helicobacter_pylori_GAM96Ai.mat', 'Helicobacter_pylori_Gambia94_24.mat', 'Helicobacter_pylori_GAMchJs106B.mat', 'Helicobacter_pylori_GAMchJs114i.mat', 'Helicobacter_pylori_GAMchJs117Ai.mat', 'Helicobacter_pylori_GAMchJs124i.mat', 'Helicobacter_pylori_GAMchJs136i.mat', 'Helicobacter_pylori_HLJHP193.mat', 'Helicobacter_pylori_HLJHP253.mat', 'Helicobacter_pylori_HLJHP256.mat', 'Helicobacter_pylori_HLJHP271.mat', 'Helicobacter_pylori_HP116Bi.mat', 'Helicobacter_pylori_Hp238.mat', 'Helicobacter_pylori_HP250AFii.mat', 'Helicobacter_pylori_HP250AFiii.mat', 'Helicobacter_pylori_HP250AFiV.mat', 'Helicobacter_pylori_HP250ASi.mat', 'Helicobacter_pylori_HP250ASii.mat', 'Helicobacter_pylori_HP250BFii.mat', 'Helicobacter_pylori_HP250BFiii.mat', 'Helicobacter_pylori_HP250BFiV.mat', 'Helicobacter_pylori_HP250BSi.mat', 'Helicobacter_pylori_HP260AFi.mat', 'Helicobacter_pylori_HP260AFii.mat', 'Helicobacter_pylori_HP260ASii.mat', 'Helicobacter_pylori_HP260BFii.mat', 'Helicobacter_pylori_HP260Bi.mat', 'Helicobacter_pylori_HPAG1.mat', 'Helicobacter_pylori_Hp_A_11.mat', 'Helicobacter_pylori_Hp_A_14.mat', 'Helicobacter_pylori_Hp_A_16.mat', 'Helicobacter_pylori_Hp_A_17.mat', 'Helicobacter_pylori_Hp_A_20.mat', 'Helicobacter_pylori_Hp_A_26.mat', 'Helicobacter_pylori_Hp_A_27.mat', 'Helicobacter_pylori_Hp_A_4.mat', 'Helicobacter_pylori_Hp_A_5.mat', 'Helicobacter_pylori_Hp_A_6.mat', 'Helicobacter_pylori_Hp_A_8.mat', 'Helicobacter_pylori_Hp_A_9.mat', 'Helicobacter_pylori_Hp_H_1.mat', 'Helicobacter_pylori_Hp_H_10.mat', 'Helicobacter_pylori_Hp_H_11.mat', 'Helicobacter_pylori_Hp_H_16.mat', 'Helicobacter_pylori_Hp_H_18.mat', 'Helicobacter_pylori_Hp_H_19.mat', 'Helicobacter_pylori_Hp_H_21.mat', 'Helicobacter_pylori_Hp_H_23.mat', 'Helicobacter_pylori_Hp_H_24.mat', 'Helicobacter_pylori_Hp_H_24b.mat', 'Helicobacter_pylori_Hp_H_24c.mat', 'Helicobacter_pylori_Hp_H_27.mat', 'Helicobacter_pylori_Hp_H_28.mat', 'Helicobacter_pylori_Hp_H_29.mat', 'Helicobacter_pylori_Hp_H_3.mat', 'Helicobacter_pylori_Hp_H_30.mat', 'Helicobacter_pylori_Hp_H_34.mat', 'Helicobacter_pylori_Hp_H_36.mat', 'Helicobacter_pylori_Hp_H_4.mat', 'Helicobacter_pylori_Hp_H_41.mat', 'Helicobacter_pylori_Hp_H_42.mat', 'Helicobacter_pylori_Hp_H_43.mat', 'Helicobacter_pylori_Hp_H_44.mat', 'Helicobacter_pylori_Hp_H_45.mat', 'Helicobacter_pylori_Hp_H_5b.mat', 'Helicobacter_pylori_Hp_H_6.mat', 'Helicobacter_pylori_Hp_H_9.mat', 'Helicobacter_pylori_Hp_M1.mat', 'Helicobacter_pylori_Hp_M2.mat', 'Helicobacter_pylori_Hp_M3.mat', 'Helicobacter_pylori_Hp_M4.mat', 'Helicobacter_pylori_Hp_M5.mat', 'Helicobacter_pylori_Hp_M6.mat', 'Helicobacter_pylori_Hp_M9.mat', 'Helicobacter_pylori_Hp_P_1.mat', 'Helicobacter_pylori_Hp_P_11.mat', 'Helicobacter_pylori_Hp_P_11b.mat', 'Helicobacter_pylori_Hp_P_13.mat', 'Helicobacter_pylori_Hp_P_13b.mat', 'Helicobacter_pylori_Hp_P_15.mat', 'Helicobacter_pylori_Hp_P_15b.mat', 'Helicobacter_pylori_Hp_P_16.mat', 'Helicobacter_pylori_Hp_P_1b.mat', 'Helicobacter_pylori_Hp_P_2.mat', 'Helicobacter_pylori_Hp_P_23.mat', 'Helicobacter_pylori_Hp_P_25.mat', 'Helicobacter_pylori_Hp_P_25c.mat', 'Helicobacter_pylori_Hp_P_25d.mat', 'Helicobacter_pylori_Hp_P_26.mat', 'Helicobacter_pylori_Hp_P_28b.mat', 'Helicobacter_pylori_Hp_P_2b.mat', 'Helicobacter_pylori_Hp_P_3.mat', 'Helicobacter_pylori_Hp_P_30.mat', 'Helicobacter_pylori_Hp_P_3b.mat', 'Helicobacter_pylori_Hp_P_4.mat', 'Helicobacter_pylori_Hp_P_41.mat', 'Helicobacter_pylori_Hp_P_4c.mat', 'Helicobacter_pylori_Hp_P_4d.mat', 'Helicobacter_pylori_Hp_P_62.mat', 'Helicobacter_pylori_Hp_P_74.mat', 'Helicobacter_pylori_Hp_P_8.mat', 'Helicobacter_pylori_Hp_P_8b.mat', 'Helicobacter_pylori_HUP_B14.mat', 'Helicobacter_pylori_India7.mat', 'Helicobacter_pylori_J99.mat', 'Helicobacter_pylori_Lithuania75.mat', 'Helicobacter_pylori_MALT.mat', 'Helicobacter_pylori_N6.mat', 'Helicobacter_pylori_NAK7.mat', 'Helicobacter_pylori_NQ1671.mat', 'Helicobacter_pylori_NQ1707.mat', 'Helicobacter_pylori_NQ1712.mat', 'Helicobacter_pylori_NQ315.mat', 'Helicobacter_pylori_NQ352.mat', 'Helicobacter_pylori_NQ367.mat', 'Helicobacter_pylori_NQ392.mat', 'Helicobacter_pylori_NQ4044.mat', 'Helicobacter_pylori_NQ4053.mat', 'Helicobacter_pylori_NQ4060.mat', 'Helicobacter_pylori_NQ4076.mat', 'Helicobacter_pylori_NQ4099.mat', 'Helicobacter_pylori_NQ4110.mat', 'Helicobacter_pylori_NQ4161.mat', 'Helicobacter_pylori_NQ4191.mat', 'Helicobacter_pylori_NQ4200.mat', 'Helicobacter_pylori_NQ4216.mat', 'Helicobacter_pylori_NQ4228.mat', 'Helicobacter_pylori_OK113.mat', 'Helicobacter_pylori_OK310.mat', 'Helicobacter_pylori_P12.mat', 'Helicobacter_pylori_PeCan18.mat', 'Helicobacter_pylori_PeCan4.mat', 'Helicobacter_pylori_Puno120.mat', 'Helicobacter_pylori_Puno135.mat', 'Helicobacter_pylori_R036d.mat', 'Helicobacter_pylori_R037c.mat', 'Helicobacter_pylori_R038b.mat', 'Helicobacter_pylori_R046Wa.mat', 'Helicobacter_pylori_R055a.mat', 'Helicobacter_pylori_R056a.mat', 'Helicobacter_pylori_R32b.mat', 'Helicobacter_pylori_Rif1.mat', 'Helicobacter_pylori_Rif2.mat', 'Helicobacter_pylori_Sat464.mat', 'Helicobacter_pylori_Shi112.mat', 'Helicobacter_pylori_Shi169.mat', 'Helicobacter_pylori_Shi417.mat', 'Helicobacter_pylori_Shi470.mat', 'Helicobacter_pylori_SJM180.mat', 'Helicobacter_pylori_SNT49.mat', 'Helicobacter_pylori_SouthAfrica7.mat', 'Helicobacter_pylori_UM007.mat', 'Helicobacter_pylori_UM018.mat', 'Helicobacter_pylori_UM034.mat', 'Helicobacter_pylori_UM037.mat', 'Helicobacter_pylori_UM045.mat', 'Helicobacter_pylori_UM054.mat', 'Helicobacter_pylori_UM066.mat', 'Helicobacter_pylori_UM299.mat', 'Helicobacter_pylori_v225d.mat', 'Helicobacter_pylori_XZ274.mat', 'Helicobacter_rodentium_ATCC_700285.mat', 'Helicobacter_trogontum_50960_7.mat', 'Helicobacter_typhlonius_ATCC_BAA_367.mat', 'Helicobacter_winghamensis_ATCC_BAA_430.mat']"
222,57,4,0.1518,Achromobacter,[],"['Achromobacter_insuavis_AXX_A.mat', 'Achromobacter_xylosoxidans_A8.mat', 'Achromobacter_xylosoxidans_ERR2221244.mat', 'Achromobacter_xylosoxidans_ERR2221245.mat', 'Achromobacter_xylosoxidans_ERR2221246.mat', 'Achromobacter_xylosoxidans_ERR2221247.mat', 'Achromobacter_xylosoxidans_NBRC_15126.mat', 'Achromobacter_xylosoxidans_NCTC10807.mat']"
226,460,4,1.225,Alteromonas,[],[]
234,369,6,0.9827,Brucella,[],[]
237,1116,15,2.972,Flavobacterium,[],"['Flavobacterium_cheniae_CGMCC_16844.mat', 'Flavobacterium_cheniae_DSM_22462.mat', 'Flavobacterium_cucumis_DSM_18830.mat']"
262,8,1,0.0213,Francisella,[],[]
265,459,15,1.2224,Paracoccus,[],['Paracoccus_yeei_ATCC_BAA_599.mat']
270,45,8,0.1198,Thermus,"[{""url"":""http://mvp.medgenius.info/microbes/270/Thermus"",""anno"":""assoc w/ 4 phage clusters"",""dbtype"":""MVP""}]","['Thermus_scotoductus_DSM_8553.mat', 'Thermus_scotoductus_K1_1.mat', 'Thermus_scotoductus_KI2.mat', 'Thermus_scotoductus_SA_01.mat']"
283,453,11,1.2064,Comamonas,[],"['Comamonas_aquatica_CJG.mat', 'Comamonas_aquatica_DA1877.mat', 'Comamonas_aquatica_NBRC_14918.mat', 'Comamonas_terrigena_FDAARGOS_394_pRIID_98.mat', 'Comamonas_terrigena_NBRC_13299.mat', 'Comamonas_testosteroni_ATCC_11996.mat', 'Comamonas_testosteroni_CNB_2.mat', 'Comamonas_testosteroni_KF_1.mat', 'Comamonas_testosteroni_NBRC_100989.mat', 'Comamonas_testosteroni_S44.mat']"
